No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
8,福留　孝介,外野手,1977/04/26,37歳,11年,182cm,90kg,B型,右左,鹿児島,"15,000万円",阪神,2014
9,マートン,外野手,1981/10/03,33歳,5年,185cm,99kg,不明,右右,アメリカ,"35,350万円",阪神,2014
12,渡辺　亮,投手,1982/02/10,32歳,9年,175cm,68kg,O型,右右,徳島,"4,700万円",阪神,2014
13,榎田　大樹,投手,1986/08/07,28歳,4年,181cm,87kg,AB型,左左,鹿児島,"4,100万円",阪神,2014
14,能見　篤史,投手,1979/05/28,35歳,10年,180cm,73kg,AB型,左左,兵庫,"15,000万円",阪神,2014
15,藤原　正典,投手,1988/01/14,26歳,5年,182cm,84kg,B型,左左,岐阜,"1,000万円",阪神,2014
16,安藤　優也,投手,1977/12/27,37歳,13年,184cm,95kg,O型,右右,大分,"7,500万円",阪神,2014
17,岩貞　祐太,投手,1991/09/05,23歳,1年,182cm,78kg,A型,左左,熊本,"1,500万円",阪神,2014
19,藤浪　晋太郎,投手,1994/04/12,20歳,2年,197cm,85kg,A型,右右,大阪,"4,500万円",阪神,2014
20,筒井　和也,投手,1981/10/05,33歳,11年,184cm,87kg,O型,左右,愛媛,"3,000万円",阪神,2014
21,岩田　稔,投手,1983/10/31,31歳,9年,179cm,92kg,O型,左左,大阪,"4,600万円",阪神,2014
22,呉　昇桓,投手,1982/07/15,32歳,1年,178cm,92kg,B型,右右,韓国,"30,000万円",阪神,2014
24,横田　慎太郎,外野手,1995/06/09,19歳,1年,186cm,85kg,O型,左左,鹿児島,720万円,阪神,2014
25,新井　貴浩,内野手,1977/01/30,37歳,16年,189cm,96kg,B型,右右,広島,"20,000万円",阪神,2014
26,歳内　宏明,投手,1993/07/19,21歳,3年,184cm,81kg,B型,右右,兵庫,750万円,阪神,2014
27,秋山　拓巳,投手,1991/04/26,23歳,5年,187cm,92kg,A型,右左,香川,"1,200万円",阪神,2014
28,福原　忍,投手,1976/12/28,38歳,16年,180cm,96kg,O型,右右,広島,"10,500万円",阪神,2014
29,小嶋　達也,投手,1985/10/07,29歳,8年,181cm,82kg,A型,左左,大阪,"1,100万円",阪神,2014
30,久保田　智之,投手,1981/01/30,33歳,12年,181cm,95kg,AB型,右右,埼玉,"3,800万円",阪神,2014
32,新井　良太,内野手,1983/08/16,31歳,9年,188cm,98kg,AB型,右右,広島,"3,300万円",阪神,2014
33,西田　直斗,内野手,1993/04/26,21歳,3年,186cm,72kg,O型,右左,大阪,600万円,阪神,2014
34,高宮　和也,投手,1981/12/04,33歳,9年,173cm,80kg,A型,左左,大阪,"1,000万円",阪神,2014
35,坂　克彦,内野手,1985/09/06,29歳,11年,180cm,76kg,A型,右左,茨城,"2,100万円",阪神,2014
36,一二三　慎太,外野手,1992/09/29,22歳,4年,187cm,90kg,A型,右右,大阪,700万円,阪神,2014
37,日高　剛,捕手,1977/08/15,37歳,19年,182cm,90kg,A型,右左,福岡,"4,000万円",阪神,2014
38,黒瀬　春樹,内野手,1985/04/15,29歳,11年,180cm,80kg,B型,右右,岐阜,650万円,阪神,2014
39,小宮山　慎二,捕手,1985/11/26,29歳,11年,178cm,85kg,A型,右右,神奈川,"1,400万円",阪神,2014
40,鶴岡　一成,捕手,1977/05/30,37歳,19年,183cm,85kg,A型,右右,兵庫,"4,000万円",阪神,2014
41,田面　巧二郎,投手,1990/12/09,24歳,2年,178cm,89kg,A型,右右,群馬,740万円,阪神,2014
42,吉見　祐治,投手,1978/05/21,36歳,14年,188cm,92kg,O型,左左,和歌山,"1,500万円",阪神,2014
43,西村　憲,投手,1986/12/04,28歳,6年,182cm,82kg,A型,右右,福岡,"1,500万円",阪神,2014
44,梅野　隆太郎,捕手,1991/06/17,23歳,1年,173cm,80kg,A型,右右,福岡,840万円,阪神,2014
45,清水　誉,捕手,1984/04/23,30歳,8年,178cm,75kg,A型,右右,兵庫,"1,500万円",阪神,2014
46,鶴　直人,投手,1987/04/25,27歳,9年,180cm,80kg,A型,右左,大阪,"1,700万円",阪神,2014
47,山本　翔也,投手,1988/10/12,26歳,1年,182cm,90kg,O型,左左,福井,540万円,阪神,2014
48,金田　和之,投手,1990/09/18,24歳,2年,184cm,81kg,O型,右右,鹿児島,720万円,阪神,2014
49,今成　亮太,捕手,1987/10/06,27歳,9年,178cm,76kg,O型,右左,埼玉,"2,000万円",阪神,2014
50,藤井　彰人,捕手,1976/06/18,38歳,16年,170cm,82kg,AB型,右右,大阪,"6,700万円",阪神,2014
51,伊藤　隼太,外野手,1989/05/08,25歳,3年,177cm,79kg,O型,右左,愛知,"1,200万円",阪神,2014
52,小豆畑　眞也,捕手,1988/07/22,26歳,2年,181cm,78kg,B型,右右,岐阜,800万円,阪神,2014
53,建山　義紀,投手,1975/12/26,39歳,13年,178cm,75kg,O型,右右,大阪,"1,500万円",阪神,2014
54,メッセンジャー,投手,1981/08/13,33歳,5年,198cm,121kg,不明,右右,アメリカ,"25,000万円",阪神,2014
55,陽川　尚将,内野手,1991/07/17,23歳,1年,179cm,86kg,O型,右右,大阪,840万円,阪神,2014
56,松田　遼馬,投手,1994/02/08,20歳,3年,184cm,89kg,A型,右右,長崎,"1,040万円",阪神,2014
57,岡崎　太一,捕手,1983/06/20,31歳,10年,180cm,85kg,O型,右右,奈良,950万円,阪神,2014
58,荒木　郁也,内野手,1988/04/25,26歳,4年,183cm,70kg,B型,右左,東京,600万円,阪神,2014
59,岩本　輝,投手,1992/10/21,22歳,4年,182cm,84kg,O型,右左,山口,700万円,阪神,2014
60,中谷　将大,外野手,1993/01/05,21歳,4年,187cm,84kg,A型,右右,福岡,580万円,阪神,2014
61,田上　健一,外野手,1987/12/12,27歳,5年,181cm,71kg,A型,右左,神奈川,700万円,阪神,2014
62,高山　久,外野手,1981/11/16,33歳,15年,177cm,85kg,O型,右右,熊本,"1,700万円",阪神,2014
63,加藤　康介,投手,1978/07/02,36歳,14年,182cm,85kg,O型,左左,静岡,"4,800万円",阪神,2014
64,白仁田　寛和,投手,1985/10/02,29歳,7年,189cm,86kg,B型,右右,福岡,750万円,阪神,2014
65,緒方　凌介,外野手,1990/08/25,24歳,2年,176cm,65kg,O型,右左,大阪,700万円,阪神,2014
66,二神　一人,投手,1987/06/03,27歳,5年,185cm,84kg,AB型,右右,高知,750万円,阪神,2014
67,岩崎　優,投手,1991/06/19,23歳,1年,184cm,81kg,B型,左左,静岡,660万円,阪神,2014
68,俊介,外野手,1987/08/17,27歳,5年,178cm,68kg,A型,右右,福岡,"2,800万円",阪神,2014
69,森田　一成,内野手,1989/08/04,25歳,7年,185cm,98kg,A型,右左,岡山,820万円,阪神,2014
92,伊藤　和雄,投手,1989/12/13,25歳,3年,186cm,90kg,A型,右右,埼玉,400万円,阪神,2014
97,玉置　隆,投手,1986/09/11,28歳,10年,181cm,76kg,B型,右右,和歌山,800万円,阪神,2014
99,狩野　恵輔,外野手,1982/12/17,32歳,14年,181cm,77kg,B型,右右,群馬,800万円,阪神,2014
122,阪口　哲也,内野手,1992/08/31,22歳,4年,180cm,81kg,O型,右左,大阪,300万円,阪神,2014
124,原口　文仁,捕手,1992/03/03,22歳,5年,182cm,79kg,AB型,右右,埼玉,400万円,阪神,2014
126,島本　浩也,投手,1993/02/14,21歳,4年,176cm,65kg,B型,左左,奈良,300万円,阪神,2014
0,藤井　秀悟,投手,1977/05/12,37歳,15年,175cm,86kg,A型,左左,愛媛,"4,100万円",横浜,2014
0,山崎　憲晴,内野手,1986/12/13,28歳,6年,176cm,79kg,O型,右右,静岡,"2,150万円",横浜,2014
1,金城　龍彦,外野手,1976/07/27,38歳,16年,177cm,80kg,A型,右両,大阪,"4,000万円",横浜,2014
3,梶谷　隆幸,外野手,1988/08/28,26歳,8年,180cm,83kg,A型,右左,島根,"2,300万円",横浜,2014
4,荒波　翔,外野手,1986/01/25,28歳,4年,179cm,78kg,A型,右左,神奈川,"4,500万円",横浜,2014
6,松本　啓二朗,外野手,1986/06/24,28歳,6年,180cm,80kg,O型,左左,千葉,"1,400万円",横浜,2014
7,石川　雄洋,内野手,1986/07/10,28歳,10年,183cm,78kg,O型,右左,静岡,"6,500万円",横浜,2014
8,多村　仁志,外野手,1977/03/28,37歳,20年,180cm,80kg,B型,右右,神奈川,"5,000万円",横浜,2014
9,黒羽根　利規,捕手,1987/06/02,27歳,9年,178cm,86kg,A型,右右,神奈川,"1,200万円",横浜,2014
10,グリエル,内野手,1984/06/09,30歳,1年,183cm,89kg,不明,右右,キューバ,"10,000万円",横浜,2014
11,山口　俊,投手,1987/07/11,27歳,9年,187cm,90kg,O型,右右,大分,"8,000万円",横浜,2014
12,小林　寛,投手,1989/01/21,25歳,4年,180cm,87kg,AB型,右右,広島,"1,350万円",横浜,2014
13,柿田　裕太,投手,1992/08/27,22歳,1年,182cm,88kg,A型,右右,長野,"1,500万円",横浜,2014
14,小林　太志,投手,1983/05/11,31歳,7年,184cm,87kg,B型,右右,群馬,"1,200万円",横浜,2014
15,井納　翔一,投手,1986/05/01,28歳,2年,188cm,91kg,A型,右右,東京,"1,650万円",横浜,2014
16,加賀　繁,投手,1985/04/13,29歳,5年,182cm,84kg,B型,右右,埼玉,"3,500万円",横浜,2014
17,三嶋　一輝,投手,1990/05/07,24歳,2年,176cm,75kg,A型,右両,福岡,"2,700万円",横浜,2014
18,三浦　大輔,投手,1973/12/25,41歳,23年,183cm,88kg,B型,右右,奈良,"18,000万円",横浜,2014
19,藤江　均,投手,1986/01/27,28歳,6年,177cm,77kg,O型,右右,大阪,"3,100万円",横浜,2014
20,須田　幸太,投手,1986/07/31,28歳,4年,175cm,78kg,AB型,右右,茨城,"1,700万円",横浜,2014
21,加賀美　希昇,投手,1988/09/05,26歳,4年,187cm,92kg,O型,右右,神奈川,"1,250万円",横浜,2014
22,高崎　健太郎,投手,1985/06/24,29歳,8年,176cm,82kg,O型,右右,熊本,"4,500万円",横浜,2014
23,内村　賢介,内野手,1986/03/17,28歳,7年,163cm,65kg,B型,右両,東京,"3,500万円",横浜,2014
24,林　昌範,投手,1983/09/19,31歳,13年,186cm,80kg,O型,左左,千葉,"2,600万円",横浜,2014
25,筒香　嘉智,内野手,1991/11/26,23歳,5年,185cm,97kg,A型,右左,和歌山,"1,600万円",横浜,2014
26,井手　正太郎,外野手,1983/10/10,31歳,13年,179cm,85kg,O型,右右,宮崎,"1,100万円",横浜,2014
27,久保　康友,投手,1980/08/06,34歳,10年,180cm,81kg,B型,右右,奈良,"12,500万円",横浜,2014
28,北方　悠誠,投手,1994/01/25,20歳,3年,180cm,80kg,O型,右右,佐賀,600万円,横浜,2014
29,白崎　浩之,内野手,1990/08/20,24歳,2年,183cm,86kg,O型,右右,北海道,"1,500万円",横浜,2014
30,菊地　和正,投手,1982/06/27,32歳,10年,181cm,83kg,B型,右右,群馬,"2,200万円",横浜,2014
31,赤堀　大智,外野手,1987/04/13,27歳,2年,188cm,92kg,A型,右右,静岡,900万円,横浜,2014
32,高城　俊人,捕手,1993/05/03,21歳,3年,176cm,86kg,AB型,右右,福岡,900万円,横浜,2014
33,乙坂　智,外野手,1994/01/06,20歳,3年,182cm,83kg,O型,右左,神奈川,490万円,横浜,2014
34,平田　真吾,投手,1989/08/29,25歳,1年,181cm,74kg,A型,右右,山口,"1,200万円",横浜,2014
35,三上　朋也,投手,1989/04/10,25歳,1年,190cm,90kg,AB型,右右,岐阜,950万円,横浜,2014
36,柳田　殖生,内野手,1982/03/31,32歳,9年,180cm,82kg,A型,右右,兵庫,800万円,横浜,2014
37,桑原　将志,外野手,1993/07/21,21歳,3年,174cm,74kg,B型,右右,大阪,610万円,横浜,2014
38,神内　靖,投手,1983/08/12,31歳,13年,176cm,86kg,O型,左左,京都,"1,200万円",横浜,2014
39,嶺井　博希,捕手,1991/06/04,23歳,1年,175cm,85kg,B型,右両,沖縄,"1,000万円",横浜,2014
40,飛雄馬,内野手,1991/03/17,23歳,3年,181cm,95kg,B型,右右,大阪,560万円,横浜,2014
41,大原　慎司,投手,1985/06/30,29歳,4年,174cm,66kg,A型,左左,茨城,"3,100万円",横浜,2014
42,ブランコ,内野手,1980/11/10,34歳,6年,188cm,102kg,A型,右右,ドミニカ共和国,"20,000万円",横浜,2014
43,安部　建輝,投手,1986/09/03,28歳,2年,178cm,85kg,O型,右右,大阪,850万円,横浜,2014
44,渡邊　雄貴,内野手,1993/04/09,21歳,3年,180cm,79kg,O型,右右,岡山,520万円,横浜,2014
45,土屋　健二,投手,1990/10/04,24歳,6年,181cm,88kg,B型,左左,静岡,650万円,横浜,2014
46,田中　健二朗,投手,1989/09/18,25歳,7年,179cm,75kg,B型,左左,愛知,830万円,横浜,2014
47,尚成,投手,1975/04/02,39歳,11年,177cm,80kg,B型,左左,東京,"6,000万円",横浜,2014
48,山下　峻,投手,1991/08/19,23歳,1年,182cm,73kg,A型,左左,広島,720万円,横浜,2014
49,モスコーソ,投手,1983/11/14,31歳,1年,185cm,91kg,不明,右右,ベネズエラ,"8,500万円",横浜,2014
50,下園　辰哉,外野手,1984/11/22,30歳,8年,179cm,81kg,B型,左左,宮崎,"2,500万円",横浜,2014
51,宮崎　敏郎,内野手,1988/12/12,26歳,2年,172cm,85kg,B型,右右,佐賀,950万円,横浜,2014
52,バルディリス,内野手,1983/01/05,31歳,7年,185cm,90kg,不明,右右,ベネズエラ,"7,500万円",横浜,2014
53,ソーサ,投手,1977/04/28,37歳,3年,188cm,100kg,不明,右右,ドミニカ共和国,"8,500万円",横浜,2014
54,小杉　陽太,投手,1985/12/08,29歳,6年,187cm,88kg,O型,右右,東京,"1,000万円",横浜,2014
55,後藤　武敏,内野手,1980/06/05,34歳,12年,176cm,84kg,A型,右右,静岡,"1,800万円",横浜,2014
56,長田　秀一郎,投手,1980/05/06,34歳,12年,179cm,80kg,O型,右右,神奈川,"3,600万円",横浜,2014
57,鶴岡　賢二郎,捕手,1987/07/07,27歳,4年,178cm,87kg,AB型,右右,埼玉,540万円,横浜,2014
58,大田　阿斗里,投手,1989/08/12,25歳,7年,190cm,95kg,A型,右右,沖縄,"1,250万円",横浜,2014
59,陳　冠宇,投手,1990/10/29,24歳,4年,179cm,75kg,不明,左左,台湾,600万円,横浜,2014
60,加藤　政義,内野手,1987/04/28,27歳,5年,173cm,76kg,B型,右左,宮城,880万円,横浜,2014
61,ソト,投手,1982/08/20,32歳,4年,185cm,96kg,A型,左左,ベネズエラ,"7,500万円",横浜,2014
62,萬谷　康平,投手,1987/08/28,27歳,1年,185cm,78kg,B型,右左,大阪,360万円,横浜,2014
63,関根　大気,外野手,1995/06/28,19歳,1年,174cm,80kg,A型,左左,愛知,550万円,横浜,2014
64,眞下　貴之,投手,1991/04/19,23歳,5年,188cm,85kg,A型,左左,北海道,570万円,横浜,2014
65,国吉　佑樹,投手,1991/09/24,23歳,5年,196cm,100kg,A型,右右,大阪,"1,500万円",横浜,2014
66,西森　将司,捕手,1987/12/29,27歳,3年,182cm,80kg,A型,右両,京都,500万円,横浜,2014
67,伊藤　拓郎,投手,1993/04/02,21歳,3年,185cm,90kg,B型,右右,東京,520万円,横浜,2014
68,冨田　康祐,投手,1988/04/24,26歳,3年,186cm,86kg,A型,右右,愛知,490万円,横浜,2014
99,中村　紀洋,内野手,1973/07/24,41歳,22年,180cm,93kg,O型,右右,大阪,"5,000万円",横浜,2014
100,今井　金太,投手,1994/06/19,20歳,2年,178cm,78kg,B型,右右,広島,360万円,横浜,2014
111,砂田　毅樹,投手,1995/07/20,19歳,1年,179cm,78kg,B型,左左,北海道,360万円,横浜,2014
113,古村　徹,投手,1993/10/20,21歳,3年,179cm,77kg,B型,左左,神奈川,340万円,横浜,2014
114,トラヴィス,投手,1993/10/09,21歳,3年,191cm,84kg,O型,右右,沖縄,360万円,横浜,2014
115,モスカテル,捕手,1991/05/16,23歳,2年,185cm,80kg,不明,右右,ベネズエラ,300万円,横浜,2014
0,藤村　大介,内野手,1989/07/25,25歳,7年,174cm,73kg,AB型,右左,熊本,"1,800万円",巨人,2014
0,寺内　崇幸,内野手,1983/05/27,31歳,8年,177cm,74kg,B型,右右,栃木,"4,000万円",巨人,2014
1,高木　康成,投手,1982/03/30,32歳,15年,182cm,84kg,A型,左左,静岡,"1,500万円",巨人,2014
2,井端　弘和,内野手,1975/05/12,39歳,17年,173cm,75kg,B型,右右,神奈川,"4,500万円",巨人,2014
2,田原　啓吾,投手,1994/06/12,20歳,2年,182cm,90kg,A型,左左,神奈川,250万円,巨人,2014
3,野間口　貴彦,投手,1983/05/31,31歳,10年,183cm,90kg,A型,右右,兵庫,"1,200万円",巨人,2014
4,荻野　貴幸,内野手,1988/04/15,26歳,4年,176cm,69kg,O型,右左,愛知,270万円,巨人,2014
5,ロペス,内野手,1983/11/24,31歳,2年,183cm,93kg,不明,右右,ベネズエラ,"17,000万円",巨人,2014
6,芳川　庸,捕手,1993/08/18,21歳,3年,183cm,91kg,A型,右右,京都,260万円,巨人,2014
6,坂本　勇人,内野手,1988/12/14,26歳,8年,186cm,82kg,AB型,右右,兵庫,"18,000万円",巨人,2014
7,長野　久義,外野手,1984/12/06,30歳,5年,180cm,83kg,O型,右右,佐賀,"18,000万円",巨人,2014
7,高橋　洸,内野手,1993/04/30,21歳,3年,184cm,77kg,A型,右左,新潟,490万円,巨人,2014
8,青山　誠,外野手,1991/11/01,23歳,1年,185cm,81kg,O型,右右,兵庫,240万円,巨人,2014
8,片岡　治大,内野手,1983/02/17,31歳,10年,176cm,80kg,O型,右右,千葉,"9,500万円",巨人,2014
9,亀井　善行,外野手,1982/07/28,32歳,10年,178cm,82kg,AB型,右左,奈良,"4,000万円",巨人,2014
9,長江　翔太,投手,1991/10/08,23歳,1年,190cm,88kg,O型,右左,大阪,240万円,巨人,2014
10,阿部　慎之助,捕手,1979/03/20,35歳,14年,180cm,97kg,A型,右左,千葉,"60,000万円",巨人,2014
10,和田　凌太,内野手,1992/07/20,22歳,4年,180cm,77kg,O型,右右,広島,270万円,巨人,2014
11,北之園　隆生,内野手,1995/04/12,19歳,1年,180cm,80kg,AB型,右左,鹿児島,240万円,巨人,2014
11,久保　裕也,投手,1980/05/23,34歳,12年,177cm,80kg,B型,右右,福岡,"5,000万円",巨人,2014
12,鈴木　尚広,外野手,1978/04/27,36歳,18年,180cm,78kg,A型,右両,福島,"4,000万円",巨人,2014
13,香月　良太,投手,1982/07/27,32歳,11年,180cm,85kg,A型,右右,福岡,"4,080万円",巨人,2014
15,森　和樹,投手,1993/06/23,21歳,3年,185cm,93kg,O型,右右,千葉,250万円,巨人,2014
15,澤村　拓一,投手,1988/04/03,26歳,4年,184cm,99kg,A型,右右,栃木,"6,000万円",巨人,2014
17,大竹　寛,投手,1983/05/21,31歳,13年,184cm,95kg,B型,右右,埼玉,"10,000万円",巨人,2014
18,杉内　俊哉,投手,1980/10/30,34歳,13年,175cm,82kg,A型,左左,福岡,"50,000万円",巨人,2014
19,柴田　章吾,投手,1989/04/13,25歳,3年,175cm,79kg,O型,左左,三重,270万円,巨人,2014
19,菅野　智之,投手,1989/10/11,25歳,2年,185cm,90kg,A型,右右,神奈川,"7,000万円",巨人,2014
20,成瀬　功亮,投手,1992/08/19,22歳,4年,182cm,84kg,A型,右右,北海道,250万円,巨人,2014
20,マシソン,投手,1984/02/27,30歳,3年,191cm,104kg,不明,右右,カナダ,"15,000万円",巨人,2014
21,雨宮　敬,投手,1987/07/06,27歳,3年,174cm,85kg,A型,右右,山梨,280万円,巨人,2014
22,小林　誠司,捕手,1989/06/07,25歳,1年,178cm,74kg,O型,右右,大阪,"1,500万円",巨人,2014
23,セペダ,外野手,1980/04/08,34歳,1年,178cm,93kg,不明,右両,キューバ,"15,000万円",巨人,2014
24,高橋　由伸,外野手,1975/04/03,39歳,17年,180cm,87kg,O型,右左,千葉,"16,000万円",巨人,2014
25,村田　修一,内野手,1980/12/28,34歳,12年,177cm,92kg,AB型,右右,福岡,"30,000万円",巨人,2014
26,内海　哲也,投手,1982/04/29,32歳,11年,186cm,93kg,A型,左左,京都,"40,000万円",巨人,2014
27,實松　一成,捕手,1981/01/18,33歳,16年,177cm,85kg,A型,右右,佐賀,"4,000万円",巨人,2014
28,高木　京介,投手,1989/09/05,25歳,3年,182cm,84kg,AB型,左左,石川,"2,300万円",巨人,2014
29,福田　聡志,投手,1983/09/12,31歳,9年,180cm,84kg,O型,右右,大阪,"3,100万円",巨人,2014
30,宮國　椋丞,投手,1992/04/17,22歳,4年,186cm,81kg,B型,右右,沖縄,"1,600万円",巨人,2014
31,松本　哲也,外野手,1984/07/03,30歳,8年,168cm,66kg,O型,左左,山梨,"3,200万円",巨人,2014
32,橋本　到,外野手,1990/04/28,24歳,6年,172cm,75kg,O型,右左,宮城,"1,400万円",巨人,2014
33,石井　義人,内野手,1978/07/12,36歳,18年,178cm,85kg,O型,右左,埼玉,"2,600万円",巨人,2014
35,西村　健太朗,投手,1985/05/10,29歳,11年,184cm,94kg,A型,右右,広島,"18,000万円",巨人,2014
36,中井　大介,内野手,1989/11/27,25歳,7年,182cm,85kg,B型,右右,三重,"2,000万円",巨人,2014
37,田原　誠次,投手,1989/09/02,25歳,3年,180cm,78kg,A型,右左,宮崎,"1,300万円",巨人,2014
38,井野　卓,捕手,1983/11/23,31歳,9年,180cm,84kg,B型,右右,群馬,"1,000万円",巨人,2014
39,大累　進,内野手,1990/08/31,24歳,2年,175cm,73kg,O型,右右,北海道,"1,050万円",巨人,2014
40,加藤　健,捕手,1981/03/23,33歳,16年,186cm,93kg,A型,右右,新潟,"2,200万円",巨人,2014
41,松本　竜也,投手,1993/04/29,21歳,3年,193cm,85kg,AB型,左左,香川,630万円,巨人,2014
42,アンダーソン,外野手,1982/03/30,32歳,1年,185cm,93kg,不明,左左,キューバ,"6,000万円",巨人,2014
